record_id,company_name,uscc_or_entity_id,source_type,source_platform,source_url,source_title,published_at,captured_at,city,job_title,evidence_quote,evidence_summary,screenshot_path,collector,verification_status,risk_level,boycott_recommended,notes
zhl-20260407175835622220-051,安踏体育用品集团有限公司,,jobsite,智联招聘,http://jobs.zhaopin.com/CC120471590J40780739307.htm,商品主管/经理（智联招聘）,,2026-04-07,成都,商品主管/经理,iv> 任职要求： 1、35岁以下，本科及以上学历，2年及以上商品管理工作经验,岗位职责： 1、根据终端零售商品管理计划，协助评审会、订货会的各项工作，主品类每季订货会前期的产品结构分析、OTB、季度采购计划及后续的订单评审工作，帮助区域完成合理化订，完成商品评审与订货工作； 2、根据上市策划，协助区域做好各季新品上市计划、销售、促销等环节的工作，达到商品销,,zhilian-list,pending,medium,false,raw-list-candidate; query=35岁以下+10000人以上; company_size=10000人以上; backend-review-needed
zhl-20260407175835622220-052,兄弟连供应链管理(天津)有限公司,,jobsite,智联招聘,http://jobs.zhaopin.com/CCL1234226900J40826676002.htm,急聘折弯工 月入8000（五险一金）（智联招聘）,,2026-04-07,武汉,急聘折弯工 月入8000（五险一金）,吃住，五险）武汉小鹏汽车厂招总装 总装 必须接受白夜双班倒，35岁以下， 薪资待遇：5天8小时制，22天底薪4500-5000元/,折弯工1人----------------------------------------------------------------------------------------------------------- （有吃住，五险）武汉小鹏汽车厂招总装 总装 必须接受白,,zhilian-list,pending,medium,false,raw-list-candidate; query=35岁以下+10000人以上; company_size=10000人以上; backend-review-needed
zhl-20260407175835622220-053,广东联塑科技实业有限公司,,jobsite,智联招聘,http://jobs.zhaopin.com/CC324152220J40777756808.htm,全国商务代表（智联招聘）,,2026-04-07,佛山,全国商务代表,1、大专及以上学历，35岁以下，防水经验丰富学历可放宽，优秀应届毕业生可放宽条件,职位描述 岗位职责： 1、执行公司下达的年度销售任务，做好计划与控制； 2、负责管理客户保持合理的动态库存，制定并执行分销商动销策略。 3、负责市场客户开发与维护，针对目标市场做好长期跟踪与开发； 4、管理市场一级经销商、二级经销商、分销商等的价格体系，杜绝窜货。 5、完成负责区,,zhilian-list,pending,medium,false,raw-list-candidate; query=35岁以下+10000人以上; company_size=10000人以上; backend-review-needed
